,name,group,source_nmi,infom/iid,infom/independent,cinfom/iid,cinfom/independent,seed
84,diagonal_remove:2,diagonal_remove,0.026,0.7086805494733727,0.7285380283678545,0.40326398564595695,0.40161411694675103,415
85,diagonal_remove:3,diagonal_remove,0.039,0.7407137204564572,0.764659192376131,0.3871697427660691,0.38308802442134127,415
86,diagonal_strengthen:500,diagonal_strengthen,0.005,0.7431253543873607,0.7481824182128919,0.43930188988898033,0.4390824829576268,415
87,diagonal_strengthen:1000,diagonal_strengthen,0.013,0.7638946110919609,0.7802190731337533,0.41070209624605825,0.41130630223583464,415
88,diagonal_strengthen:1500,diagonal_strengthen,0.022,0.6887281718029864,0.7093921146032236,0.4070681205180107,0.4085237546862359,415
89,diagonal_strengthen:2500,diagonal_strengthen,0.041,0.7203945979330569,0.7776187462378937,0.42090887522848025,0.41949963064940615,415
90,independent,diagonal_strengthen,0.0,0.6869835138780281,0.6869835138780281,0.41513022672901584,0.41513022672901584,416
91,independent,diagonal_remove,0.0,0.6869835138780281,0.6869835138780281,0.41513022672901584,0.41513022672901584,416
92,independent,corner,0.0,0.6869835138780281,0.6869835138780281,0.41513022672901584,0.41513022672901584,416
93,corner:6,corner,0.004,0.7932372918054846,0.7950488651885813,0.3575707600755374,0.35815418892543016,416
94,corner:8,corner,0.013,0.7416592728933313,0.7469742015255856,0.40970689060043347,0.40947829403662456,416
95,corner:10,corner,0.026,0.7303681291769545,0.7434606816010089,0.4004470677030108,0.3887721800776019,416
96,corner:12,corner,0.043,0.6928165524350846,0.712937040153993,0.37341046002786454,0.3396406674282098,416
97,diagonal_remove:0,diagonal_remove,0.007,0.7394054443833368,0.752279875809648,0.4111449177936626,0.40348964100028456,416
98,diagonal_remove:1,diagonal_remove,0.015,0.7119105181318623,0.7266621156783304,0.4245032137487607,0.41622441186346226,416
99,diagonal_remove:2,diagonal_remove,0.026,0.8076783419364004,0.8371743483402105,0.4681784370717665,0.47191282373738863,416
100,diagonal_remove:3,diagonal_remove,0.039,0.6992070882766928,0.7291741768115344,0.378322015768866,0.37626825157123905,416
101,diagonal_strengthen:500,diagonal_strengthen,0.005,0.7435199488689836,0.7465160175837809,0.3969366584442436,0.39692791144170064,416
102,diagonal_strengthen:1000,diagonal_strengthen,0.013,0.7819345579383177,0.7946224816171061,0.4293881523030879,0.43009622571676087,416
103,diagonal_strengthen:1500,diagonal_strengthen,0.022,0.7759301223442404,0.8061996741672671,0.4574169564013275,0.4578926695399043,416
104,diagonal_strengthen:2500,diagonal_strengthen,0.041,0.6688086484857761,0.7196862957139375,0.36771012640495643,0.3647486981413616,416
105,independent,diagonal_strengthen,0.0,0.7851982254121668,0.7851982254121668,0.4734826860336201,0.4734826860336201,417
106,independent,diagonal_remove,0.0,0.7851982254121668,0.7851982254121668,0.4734826860336201,0.4734826860336201,417
107,independent,corner,0.0,0.7851982254121668,0.7851982254121668,0.4734826860336201,0.4734826860336201,417
108,corner:6,corner,0.004,0.7870406526799305,0.7892046427225891,0.46370465521751486,0.46349820955748744,417
109,corner:8,corner,0.013,0.8021372220812324,0.8054696105197477,0.4540560136377594,0.45501293423107136,417
110,corner:10,corner,0.026,0.7898472672092012,0.8049893174536911,0.4510177646487514,0.45298014669186804,417
111,corner:12,corner,0.043,0.7119955835678962,0.7200796186545205,0.3684039426233175,0.33956782047729833,417
112,diagonal_remove:0,diagonal_remove,0.007,0.7024447843077991,0.7020138364239046,0.3588115530331462,0.35319794726330617,417
113,diagonal_remove:1,diagonal_remove,0.015,0.7444242162307839,0.7650148373221151,0.40468324240262654,0.4080454166116489,417
114,diagonal_remove:2,diagonal_remove,0.026,0.7188283725938355,0.7399736635303397,0.3923633150786441,0.39279026356299324,417
115,diagonal_remove:3,diagonal_remove,0.039,0.7565064917926607,0.7952937444608785,0.43463769806641006,0.43100175198020685,417
116,diagonal_strengthen:500,diagonal_strengthen,0.005,0.7826687679330817,0.7846219611031762,0.47688022574587713,0.4772397883635534,417
117,diagonal_strengthen:1000,diagonal_strengthen,0.013,0.8031141220739164,0.817319948875886,0.47482364250296305,0.474164458772625,417
118,diagonal_strengthen:1500,diagonal_strengthen,0.022,0.7758396421543697,0.7926439729841039,0.435877985407661,0.4373474285513629,417
119,diagonal_strengthen:2500,diagonal_strengthen,0.041,0.748230106690289,0.8168203834121137,0.45775309453163504,0.46399585211757266,417
120,independent,diagonal_strengthen,0.0,0.7442909409893796,0.7442909409893796,0.4042577150973085,0.4042577150973085,418
121,independent,diagonal_remove,0.0,0.7442909409893796,0.7442909409893796,0.4042577150973085,0.4042577150973085,418
122,independent,corner,0.0,0.7442909409893796,0.7442909409893796,0.4042577150973085,0.4042577150973085,418
123,corner:6,corner,0.004,0.6790094622890763,0.680682078782101,0.3631551325656745,0.3629577369261987,418
124,corner:8,corner,0.013,0.7324922670490539,0.7362339833996694,0.3613666066706575,0.3603949593373668,418
125,corner:10,corner,0.026,0.7138171225689981,0.7325458709937679,0.3647882905593924,0.3640468970206599,418
126,corner:12,corner,0.043,0.7409241518441335,0.767623406337254,0.4002565128794988,0.37407781483591707,418
127,diagonal_remove:0,diagonal_remove,0.007,0.7591114216386795,0.76897920716487,0.4425942152167781,0.43611290742435393,418
128,diagonal_remove:1,diagonal_remove,0.015,0.7517808622159484,0.7625577071380238,0.40749752858434546,0.4017068848563037,418
129,diagonal_remove:2,diagonal_remove,0.026,0.7509197045923013,0.7692766843635981,0.4268768573098685,0.4234650700838233,418
130,diagonal_remove:3,diagonal_remove,0.039,0.7721399300919101,0.7878219150915357,0.4091465699485161,0.4116759083891994,418
131,diagonal_strengthen:500,diagonal_strengthen,0.005,0.6822115122780382,0.6849566937823771,0.3942489692433375,0.3938665020274341,418
132,diagonal_strengthen:1000,diagonal_strengthen,0.013,0.7464772472576487,0.7597507416253287,0.3946093226753251,0.39503683213707563,418
133,diagonal_strengthen:1500,diagonal_strengthen,0.022,0.7883715444494559,0.8105801978238787,0.45551178129110353,0.4557587469092683,418
134,diagonal_strengthen:2500,diagonal_strengthen,0.041,0.6892033879886744,0.7355674123269215,0.38774740238717365,0.38810638919653145,418
135,independent,diagonal_strengthen,0.0,0.6834196971183565,0.6834196971183565,0.367016427914571,0.367016427914571,419
136,independent,diagonal_remove,0.0,0.6834196971183565,0.6834196971183565,0.367016427914571,0.367016427914571,419
137,independent,corner,0.0,0.6834196971183565,0.6834196971183565,0.367016427914571,0.367016427914571,419
138,corner:6,corner,0.004,0.7646021755614477,0.7655567939406717,0.4079954609375678,0.4084065446173806,419
139,corner:8,corner,0.013,0.7758638303510366,0.7828550186302285,0.43040861438349987,0.4279208545394808,419
140,corner:10,corner,0.026,0.6738249201652283,0.6909998816885805,0.34989767472892613,0.35166844993781016,419
141,corner:12,corner,0.043,0.6565110964913526,0.6824174223018581,0.33085425514922095,0.31337460385099264,419
142,diagonal_remove:0,diagonal_remove,0.007,0.7416461812527269,0.7431796219468826,0.45437914487827635,0.44717064767724807,419
143,diagonal_remove:1,diagonal_remove,0.015,0.7337516311121695,0.7572416620698945,0.3787620879642749,0.375304112772328,419
144,diagonal_remove:2,diagonal_remove,0.026,0.7044190696232069,0.7302638571564605,0.3979214837815508,0.39704851317174883,419
145,diagonal_remove:3,diagonal_remove,0.039,0.7925501225781297,0.8026333474883283,0.48359778330989533,0.46615373806897115,419
146,diagonal_strengthen:500,diagonal_strengthen,0.005,0.7773122631216758,0.781770459941273,0.46644778527460384,0.4667007724572988,419
147,diagonal_strengthen:1000,diagonal_strengthen,0.013,0.7997343419047704,0.8095458949416467,0.4192833661960935,0.41894301206970197,419
148,diagonal_strengthen:1500,diagonal_strengthen,0.022,0.7098914744274945,0.7347084812638368,0.41809501802127713,0.4193080490145397,419
149,diagonal_strengthen:2500,diagonal_strengthen,0.041,0.738080766567936,0.7878457078210567,0.3985538110763902,0.4002167944835572,419
